Entrynum 1,Entrynum 2,5 stage nobypass,5 stage bypass,79 stage nobypass,79 stage bypass,branch predictor,report,penalty
2018CS10379,2018CS10379,0.0,0.0,0.0,0.0,0.016666666666666666,,0.5
2019CS10329,2019CS10339,0.0,0.0,0.0,0.0,0.7833333333333333,,0.0
2019CS10335,2019CS10409,0.2222222222222222,0.1111111111111111,0.0,0.0,0.9,,0.0
2019CS10345,2018CS10345,0.7777777777777778,0.6666666666666666,0.0,0.0,0.9,,0.5
2019CS10376,2019CS10340,0.0,0.0,0.0,0.022222222222222223,0.7666666666666667,,0.0
2019CS50131,2019CS10333,0.4444444444444444,0.0,0.26666666666666666,0.6222222222222222,0.13333333333333333,,2.5
2019CS50417,2019CS10402,0.0,0.0,0.0,0.0,0.016666666666666666,,0.5
2019CS50430,2019CS51065,0.0,0.0,0.0,0.0,0.016666666666666666,,2.0
2020AM10657,2020CS10368,0.0,0.0,0.0,0.0,0.9833333333333333,,0.5
2020CS10319,2020CS10408,1.0,1.0,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.0
2020CS10323,2020CS10327,1.0,0.8888888888888888,0.0,0.0,0.9833333333333333,,0.0
2020CS10330,2020CS10401,1.0,1.0,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.0
2020CS10334,2020CS50425,0.0,0.0,0.0,0.022222222222222223,0.9666666666666667,,0.0
2020CS10335,2020CS10328,0.7777777777777778,0.4444444444444444,0.0,0.0,0.9833333333333333,,1.0
2020CS10337,2020CS10383,0.0,0.0,0.0,0.0,0.9166666666666666,,1.0
2020CS10339,2019BB10017,1.0,1.0,0.3111111111111111,0.6666666666666666,0.9333333333333333,,0.5
2020CS10339,2020BB10017,1.0,1.0,0.3111111111111111,0.6666666666666666,0.9333333333333333,,0.0
2020CS10359,2020CS10332,0.7777777777777778,0.0,0.15555555555555556,0.022222222222222223,0.9666666666666667,,1.0
2020CS10369,2020CS10346,0.8888888888888888,0.7777777777777778,0.3111111111111111,0.13333333333333333,0.7833333333333333,,1.5
2021CS10101,2021CS10122,1.0,1.0,1.0,1.0,0.9833333333333333,,1.5
2021CS10105,2021CS10096,0.4444444444444444,0.3333333333333333,0.24444444444444444,0.17777777777777778,0.9833333333333333,,2.0
2021CS10106,2021CS10573,0.0,0.0,0.0,0.0,0.9833333333333333,,0.5
2021CS10107,2021CS10589,0.0,0.0,0.0,0.0,0.7833333333333333,,0.5
2021CS10112,2021CS10097,0.8888888888888888,0.8888888888888888,0.9111111111111111,1.0,0.016666666666666666,,0.5
2021CS10113,2021CS50124,1.0,1.0,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.0
2021CS10115,2021CS50127,0.8888888888888888,0.8888888888888888,0.0,0.0,0.9833333333333333,,1.5
2021CS10134,2021CS10571,1.0,0.8888888888888888,0.4666666666666667,0.9111111111111111,0.9666666666666667,,1.0
2021CS10229,2021CS10915,1.0,1.0,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.0
2021CS10243,2021CS10558,0.1111111111111111,0.1111111111111111,1.0,1.0,0.9333333333333333,,2.5
2021CS10546,2021CS50619,0.0,0.0,0.0,0.0,0.016666666666666666,,0.0
2021CS10547,2021CS10121,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9833333333333333,,0.0
2021CS10549,2021CS10553,0.4444444444444444,0.6666666666666666,1.0,0.9111111111111111,0.9166666666666666,,1.0
2021CS10550,2021CS50592,1.0,0.8888888888888888,0.4666666666666667,0.9111111111111111,0.9833333333333333,,1.0
2021CS10551,2021CS10581,1.0,1.0,0.0,0.0,0.9833333333333333,,0.5
2021CS10552,2021CS10082,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9833333333333333,,0.5
2021CS10554,2021CS10582,1.0,1.0,0.8888888888888888,0.6666666666666666,0.9833333333333333,,1.5
2021CS10555,2021CS10563,1.0,1.0,0.4666666666666667,0.8888888888888888,0.9666666666666667,,1.0
2021CS10556,2021CS50618,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.9666666666666667,,1.0
2021CS10557,2021CS10548,0.7777777777777778,0.7777777777777778,0.5333333333333333,0.8888888888888888,0.9833333333333333,,0.0
2021CS10562,2021CS10083,1.0,1.0,1.0,0.8888888888888888,0.9833333333333333,,0.5
2021CS10564,2021CS10561,1.0,1.0,1.0,1.0,0.9666666666666667,,0.5
2021CS10565,2021CS10577,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.016666666666666666,,0.5
2021CS10566,2021CS50600,1.0,1.0,0.7333333333333333,0.28888888888888886,0.9833333333333333,,1.5
2021CS10567,2021CS10109,0.7777777777777778,0.2222222222222222,0.0,0.0,0.8666666666666667,,1.0
2021CS10568,2021CS10570,0.7777777777777778,0.8888888888888888,0.0,0.0,0.5166666666666667,,2.5
2021CS10572,2021CS10087,1.0,0.7777777777777778,0.0,0.0,0.9166666666666666,,0.5
2021CS10583,2021CS10114,1.0,1.0,0.0,0.0,0.9833333333333333,,1.0
2021CS10584,2021CS10089,0.0,0.1111111111111111,0.0,0.0,0.85,,0.5
2021CS10585,2021CS10793,1.0,1.0,0.9111111111111111,1.0,0.9333333333333333,,1.0
2021CS10586,2021CS50603,0.0,0.0,0.0,0.0,0.016666666666666666,,2.0
2020CS10395,2020CS10363,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.0,0.9666666666666667,,0.0
2020CS10604,2020CS10317,0.0,0.0,0.0,0.0,0.9833333333333333,,0.0
2020CS50421,2020CS50421,0.0,0.0,0.0,0.0,0.9666666666666667,,0.0
2020CS50423,2020CS50431,0.0,0.0,0.0,0.0,0.95,,1.5
2020CS50428,2021CS10123,0.0,0.0,0.0,0.0,0.016666666666666666,,2.0
2020CS50434,2020CS10409,0.4444444444444444,0.6666666666666666,0.0,0.0,0.9833333333333333,,0.0
2020CS50439,2020CS50436,1.0,1.0,0.8888888888888888,0.6888888888888889,0.9666666666666667,,1.0
2021CS10014,2021CS50948,1.0,1.0,1.0,0.8888888888888888,0.9833333333333333,,1.5
2021CS10068,2021CS10077,0.1111111111111111,1.0,1.0,0.8888888888888888,0.9833333333333333,,0.5
2021CS10069,2021CS10079,0.1111111111111111,0.1111111111111111,0.17777777777777778,0.17777777777777778,0.9833333333333333,,1.0
2021CS10071,2021CS10074,1.0,1.0,1.0,0.9111111111111111,0.9833333333333333,,0.5
2021CS10072,2021CS10075,1.0,1.0,1.0,1.0,0.95,,0.5
2021CS10080,2021CS10575,1.0,0.8888888888888888,0.8,0.24444444444444444,0.9333333333333333,,0.5
2021CS10081,2021CS10070,1.0,0.8888888888888888,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.5
2021CS10085,2021CS10559,1.0,1.0,1.0,1.0,0.9833333333333333,,0.0
2021CS10088,2021CS50611,1.0,1.0,0.6444444444444445,0.9111111111111111,0.9833333333333333,,2.5
2021CS10090,2021CS50870,1.0,1.0,1.0,1.0,0.9333333333333333,,1.0
2021CS10091,2021CS10091,0.0,0.0,0.0,0.0,0.016666666666666666,,0.5
2021CS10092,2021CS11211,0.0,0.0,0.0,0.0,0.9166666666666666,,1.5
2021CS10093,2021CS10578,0.0,0.1111111111111111,0.0,0.0,0.9333333333333333,,1.5
2021CS10095,2021CS10569,0.7777777777777778,0.7777777777777778,0.0,0.0,0.9833333333333333,,1.0
2021CS10098,2021CS10110,1.0,1.0,1.0,0.8888888888888888,0.9666666666666667,,0.0
2021CS10099,2021CS10574,0.7777777777777778,0.0,0.0,0.0,0.5166666666666667,,0.0
2021CS10590,2021CS50608,0.0,0.0,0.0,0.0,0.9833333333333333,,1.0
2021CS10639,2021CS10076,0.7777777777777778,0.7777777777777778,0.6888888888888889,0.7777777777777778,0.9833333333333333,,1.0
2021CS10891,2021CS10560,1.0,1.0,1.0,0.28888888888888886,0.9833333333333333,,0.5
2021CS10914,2021CS50599,0.0,0.0,0.0,0.0,0.8333333333333334,,0.0
2021CS10917,2021CS10962,1.0,1.0,0.4666666666666667,0.6444444444444445,0.7333333333333333,,0.0
2021CS11010,2021CS50604,0.0,0.0,0.37777777777777777,0.0,0.8333333333333334,,2.5
2021CS50125,2021CS50612,0.6666666666666666,0.8888888888888888,0.5777777777777777,0.0,0.9833333333333333,,0.5
2021CS50126,2021CS50128,1.0,1.0,0.5333333333333333,0.8888888888888888,0.9,,1.5
2021CS50129,2021CS50591,0.0,0.0,0.0,0.0,0.016666666666666666,,2.0
2021CS50593,2021CS10103,0.8888888888888888,0.8888888888888888,0.0,0.0,0.9833333333333333,,0.5
2021CS50594,2021CS50596,0.0,0.0,0.0,0.0,0.9166666666666666,,0.0
2021CS50595,2021CS10073,1.0,1.0,0.4666666666666667,0.9111111111111111,0.9833333333333333,,0.5
2021CS50598,2021CS10084,1.0,1.0,0.8888888888888888,1.0,0.9833333333333333,,1.0
2021CS50601,2021CS10102,1.0,1.0,0.8888888888888888,0.8,0.9833333333333333,,0.5
2021CS50602,2021CS50597,1.0,0.4444444444444444,0.0,0.0,0.9333333333333333,,2.5
2021CS50605,2021CS10078,0.8888888888888888,1.0,1.0,0.1111111111111111,0.9333333333333333,,0.5
2021CS50607,2021CS50609,0.0,0.0,0.0,0.0,0.9833333333333333,,0.5
2021CS50610,2021CS10116,1.0,1.0,0.8,0.26666666666666666,0.9833333333333333,,1.5
2021CS50613,2021CS10587,0.0,0.0,0.1111111111111111,0.0,0.9666666666666667,,0.5
2021CS50614,2021CS10118,0.7777777777777778,0.5555555555555556,0.2,0.2,0.9833333333333333,,1.0
2021CS50615,2021CS50622,1.0,0.8888888888888888,0.0,0.0,0.9833333333333333,,0.5
2021CS50617,2021CS50616,1.0,1.0,0.8,1.0,0.016666666666666666,,0.5
2021CS50746,2021CS10120,1.0,0.8888888888888888,0.4666666666666667,0.9111111111111111,1.0,,0.5
2021CS51004,2017CS10357,1.0,0.4444444444444444,0.0,0.0,0.9666666666666667,,0.0
2021CS51086,2020CS10331,0.0,0.0,0.0,0.0,0.5166666666666667,,1.0
2020CS10378,2020CS10384,1.0,1.0,0.8222222222222222,0.9111111111111111,0.9666666666666667,,0.0
2021CS10101,2021CS10101,0.0,0.0,0.0,0.0,0.9833333333333333,,0.0
2021CS10588,2021CS10588,0.0,0.0,0.0,0.0,0.016666666666666666,,0.0
2021CS51004,2021CS10357,0.0,0.0,0.0,0.0,0.0,,1.5
2019CS01376,2019CS10340,0.0,0.0,0.0,0.0,0.0,,1.0
2021CS50596,2021CS50594,0.0,0.0,0.0,0.0,0.0,,0.5
2021CS50602,2021CS5097,0.0,0.0,0.0,0.0,0.0,,1.0
